bar_index,prob_high_set_exact,prob_low_set_exact,prob_either_set_exact,prob_high_set_offset_10,prob_low_set_offset_10,prob_either_set_offset_10
1,0.0,0.33,0.33,0.13,0.35,0.48
2,0.13,0.35,0.48,0.22,0.35,0.57
3,0.17,0.35,0.52,0.24,0.35,0.59
4,0.2,0.37,0.57,0.28,0.37,0.65
5,0.22,0.37,0.59,0.33,0.37,0.7
6,0.26,0.37,0.63,0.39,0.37,0.76
7,0.31,0.37,0.69,0.39,0.37,0.76
8,0.33,0.37,0.7,0.39,0.39,0.76
9,0.33,0.37,0.7,0.39,0.39,0.76
10,0.37,0.37,0.72,0.44,0.39,0.8
11,0.39,0.37,0.74,0.46,0.41,0.83
12,0.38,0.36,0.74,0.45,0.4,0.83
13,0.38,0.36,0.74,0.45,0.42,0.83
14,0.4,0.38,0.77,0.45,0.43,0.85
15,0.4,0.38,0.77,0.47,0.45,0.89
16,0.43,0.38,0.81,0.49,0.45,0.91
17,0.43,0.4,0.83,0.49,0.45,0.91
18,0.43,0.4,0.83,0.49,0.45,0.91
19,0.43,0.43,0.85,0.49,0.47,0.91
20,0.43,0.43,0.85,0.49,0.47,0.91
21,0.43,0.43,0.85,0.49,0.47,0.91
22,0.43,0.43,0.85,0.49,0.47,0.91
23,0.43,0.43,0.85,0.49,0.47,0.91
24,0.45,0.43,0.87,0.49,0.47,0.91
25,0.45,0.43,0.87,0.49,0.47,0.91
26,0.45,0.43,0.87,0.49,0.49,0.92
27,0.45,0.45,0.89,0.49,0.49,0.92
28,0.45,0.47,0.91,0.49,0.51,0.94
29,0.45,0.47,0.91,0.51,0.51,0.94
30,0.45,0.47,0.91,0.51,0.51,0.94
31,0.45,0.47,0.91,0.51,0.51,0.94
32,0.45,0.47,0.91,0.51,0.51,0.94
33,0.45,0.47,0.91,0.51,0.51,0.94
34,0.45,0.47,0.91,0.51,0.51,0.94
35,0.45,0.47,0.91,0.51,0.51,0.94
36,0.45,0.47,0.91,0.51,0.53,0.94
37,0.45,0.47,0.91,0.51,0.55,0.94
38,0.45,0.49,0.91,0.53,0.57,0.94
39,0.45,0.49,0.91,0.53,0.57,0.94
40,0.45,0.49,0.91,0.53,0.57,0.94
41,0.47,0.49,0.92,0.53,0.58,0.94
42,0.47,0.49,0.92,0.53,0.58,0.94
43,0.47,0.51,0.92,0.53,0.58,0.94
44,0.49,0.51,0.92,0.55,0.6,0.94
45,0.49,0.55,0.92,0.55,0.62,0.94
46,0.49,0.55,0.92,0.58,0.62,0.98
47,0.51,0.58,0.94,0.58,0.64,0.98
48,0.53,0.58,0.96,0.6,0.64,0.98
49,0.53,0.58,0.96,0.6,0.64,0.98
50,0.53,0.58,0.96,0.6,0.64,0.98
51,0.53,0.58,0.96,0.6,0.66,0.98
52,0.53,0.58,0.96,0.62,0.66,0.98
53,0.53,0.6,0.96,0.66,0.68,0.98
54,0.53,0.6,0.96,0.68,0.68,0.98
55,0.53,0.6,0.96,0.68,0.68,0.98
56,0.53,0.64,0.98,0.7,0.72,1.0
57,0.53,0.66,0.98,0.7,0.72,1.0
58,0.55,0.68,0.98,0.7,0.72,1.0
59,0.55,0.68,0.98,0.7,0.72,1.0
60,0.55,0.68,0.98,0.7,0.72,1.0
61,0.55,0.68,0.98,0.7,0.72,1.0
62,0.57,0.68,0.98,0.7,0.72,1.0
63,0.57,0.68,0.98,0.74,0.72,1.0
64,0.58,0.7,0.98,0.74,0.74,1.0
65,0.6,0.7,0.98,0.77,0.77,1.0
66,0.62,0.72,0.98,0.77,0.81,1.0
67,0.68,0.74,1.0,0.77,0.81,1.0
68,0.68,0.75,1.0,0.79,0.83,1.0
69,0.7,0.77,1.0,0.79,0.85,1.0
70,0.75,0.79,1.0,0.83,0.91,1.0
71,0.75,0.87,1.0,0.87,0.91,1.0
72,0.79,0.89,1.0,0.91,0.94,1.0
73,0.83,0.94,1.0,0.94,0.96,1.0
74,0.89,0.98,1.0,0.98,1.0,1.0
75,1.0,1.0,1.0,1.0,1.0,1.0
total_days,54.0,,,,,
